county,source_dem_votes,source_rep_votes,actual_target_dem_votes,actual_target_rep_votes,predicted_target_dem_votes,predicted_target_rep_votes,counterfactual_full_return_dem_votes,counterfactual_full_return_rep_votes,dem_percent_error_0_to_100_scale,rep_percent_error_0_to_100_scale
Florence,783,2356,557,1472,664.785022,1481.195323,903.353472,2235.646528,19.350991,0.624682
Fond du Lac,20495,37272,15634,23842,16575.040265,23432.560303,22398.996017,35368.003983,6.019191,-1.717304
Forest,1681,3382,1196,2159,1370.482779,2126.231996,1853.765468,3209.234532,14.588861,-1.517740
Grant,10966,15922,8722,8796,8732.518298,10010.013553,11779.356530,15108.643470,0.120595,13.801882
Green,10903,10843,9343,6662,8513.547618,6816.893415,11456.901825,10289.098175,-8.877795,2.325029
Green Lake,3449,7458,2626,4718,2829.459054,4688.775347,3829.983105,7077.016895,7.747870,-0.619429
Iowa,7750,6631,6671,4123,6015.115960,4168.848126,8088.736789,6292.263211,-9.831870,1.112009
Iron,1487,2557,1174,1572,1197.606715,1607.562156,1617.621319,2426.378681,2.010793,2.262224
Jackson,4157,6204,3499,3683,3316.025241,3900.397191,4473.923999,5887.076001,-5.229344,5.902720
Jefferson,20574,28771,16230,18334,16346.352923,18088.060541,22043.732491,27301.267509,0.716900,-1.341439
Juneau,4854,9525,3850,5579,3949.212550,5988.279054,5340.573354,9038.426646,2.576949,7.336065
Kenosha,41826,47478,30434,27277,32858.683372,29848.977733,44251.357451,45052.642549,7.967022,9.429108
Kewaunee,4059,8267,3191,5353,3312.622938,5197.386135,4481.309913,7844.690087,3.811436,-2.907040
La Crosse,39008,32247,30540,17954,30237.622645,20273.389464,40655.299838,30599.700162,-0.990103,12.918511
Lafayette,3469,5256,2900,3065,2769.876423,3304.398394,3737.496541,4987.503459,-4.487020,7.810714
Langlade,3746,7782,2859,4825,3062.338998,4892.471139,4143.534262,7384.465738,7.112242,1.398366
Lincoln,6306,10633,4617,6363,5071.626578,6684.868365,6849.174223,10089.825777,9.846796,5.058437
Manitowoc,17399,28200,13919,18596,13954.712257,17729.078143,18839.563632,26759.436368,0.256572,-4.661873
Marathon,31529,46213,23964,29369,25122.096341,29053.683979,33889.736423,43852.263577,4.832650,-1.073636
Marinette,7415,16670,5656,10031,6104.577081,10480.274207,8266.567225,15818.432775,7.930995,4.478858
Marquette,3252,6041,2529,3870,2634.305284,3797.920605,3560.597337,5732.402663,4.163910,-1.862517
Menominee,1266,296,837,191,955.955435,186.092451,1281.120810,280.879190,14.212119,-2.569397
Milwaukee,316292,138022,227345,77299,241000.258636,86773.149768,323342.690553,130971.309447,6.006404,12.256497
Monroe,8476,14563,6663,8340,6826.030241,9155.622872,9219.933623,13819.066377,2.446799,9.779651
Oconto,6967,17675,5386,11279,5803.851863,11112.108375,7869.906461,16772.093539,7.758111,-1.479667
Oneida,10080,14455,7733,9222,8020.861195,9087.724275,10818.416571,13716.583429,3.722503,-1.456037
Outagamie,49438,60827,37732,36740,38998.057346,38241.370078,52545.275321,57719.724679,3.355394,4.086473
Ozaukee,27874,34504,22814,24352,21994.842554,21692.344406,29636.596013,32741.403987,-3.590591,-10.921713
Pepin,1523,2798,1215,1697,1232.662015,1759.076619,1665.932519,2655.067481,1.453664,3.658021
Pierce,10171,14417,8096,8504,8087.569009,9063.834028,10907.475386,13680.524614,-0.104138,6.583185
Polk,9567,18296,7400,11157,7767.552874,11502.525309,10501.629511,17361.370489,4.966931,3.096937
Portage,21503,20987,17476,12812,16777.040358,13194.332021,22575.096062,19914.903938,-3.999540,2.984171
Price,3005,5763,2459,3865,2440.341498,3623.144586,3299.396036,5468.603964,-0.758784,-6.257579
Racine,49721,56347,37235,36323,39057.886052,35424.835678,52599.419822,53468.580178,4.895625,-2.472715
Richland,3985,5207,3309,3043,3153.765954,3273.592549,4250.993434,4941.006566,-4.691268,7.577803
Rock,46642,40218,35186,22268,36211.417132,25284.683147,48696.488941,38163.511059,2.914276,13.547167
Rusk,2516,5660,2107,3645,2071.481569,3558.389443,2805.134403,5370.865597,-1.685735,-2.376147
Sauk,18172,18798,14548,10913,14214.077731,11818.128047,19132.273587,17837.726413,-2.295314,8.294035
Sawyer,4599,6422,3464,4234,3653.659589,4037.451767,4927.060271,6093.939729,5.475161,-4.642141
Shawano,7336,15850,5467,9643,6017.796621,9964.747821,8145.678495,15040.321505,10.074934,3.336595
Sheboygan,27735,38763,21280,25130,22035.128908,24369.938158,29715.161988,36782.838012,3.548538,-3.024520
St. Croix,23870,35537,18477,21738,19038.071900,22341.781914,25685.365595,33721.634405,3.036596,2.777541
Taylor,2823,8209,2176,5264,2387.138154,5160.922074,3242.347052,7789.652948,9.703040,-1.958167
Trempealeau,6219,9661,5068,5702,4973.724215,6073.780991,6712.520753,9167.479247,-1.860217,6.520186
Vernon,7514,8807,6612,5696,5912.426469,5536.879121,7963.895174,8357.104826,-10.580362,-2.793555
Vilas,6119,9837,4572,6541,4904.962316,6184.430556,6621.511505,9334.488495,7.282640,-5.451299
Walworth,23161,36603,18461,23620,18544.395696,23011.966215,25030.820944,34733.179056,0.451740,-2.574233
Washburn,3867,6962,3129,4609,3124.995720,4376.944753,4222.645532,6606.354468,-0.127973,-5.034829
Washington,28504,61604,21906,42972,23382.764978,38729.862763,31650.967446,58457.032554,6.741372,-9.871864
Waukesha,108478,162768,85130,116000,86562.090748,102330.730183,116792.810682,154453.189318,1.682240,-11.783853
Waupaca,9947,20093,7706,12334,8112.302706,12632.282522,10973.427130,19066.572870,5.272550,2.418376
Waushara,4571,9625,3498,6386,3741.143423,6051.148125,5062.681736,9133.318264,6.950927,-5.243531
Winnebago,44660,49179,34605,30047,35033.778318,30918.380638,47172.251023,46666.748977,1.239065,2.900059
Wood,16599,24997,12838,15919,13248.558491,15715.381785,17875.942167,23720.057833,3.197994,-1.279089
