county,source_dem_votes,source_rep_votes,actual_target_dem_votes,actual_target_rep_votes,predicted_target_dem_votes,predicted_target_rep_votes,counterfactual_full_return_dem_votes,counterfactual_full_return_rep_votes,dem_percent_error_0_to_100_scale,rep_percent_error_0_to_100_scale
Adams,4443,7763,3600,5171,3582.484525,4880.526015,4839.563669,7366.436331,-0.486541,-5.617366
Ashland,4612,4191,3869,2816,3587.865157,2634.842784,4826.092276,3976.907724,-7.266344,-6.433140
Barron,8941,16726,7037,10719,7246.678089,10515.480887,9795.427919,15871.572081,2.979652,-1.898676
Bayfield,6107,4860,5228,3413,4727.550291,3055.436871,6355.267349,4611.732651,-9.572489,-10.476505
Brown,67937,79132,51403,48228,53439.779360,49749.553603,71979.364586,75089.635414,3.962374,3.154917
Buffalo,2765,5213,2310,3227,2242.402215,3277.364694,3031.299937,4946.700063,-2.926311,1.560728
Burnett,3665,7008,2728,4559,2975.621030,4405.864526,4022.995388,6650.004612,9.077017,-3.358971
Calumet,12927,19488,9743,12288,10318.440583,12251.924640,13922.521421,18492.478579,5.906195,-0.293582
Chippewa,14573,23399,11580,14036,11680.675778,14710.734024,15768.310228,22203.689772,0.869394,4.807167
Clark,4509,10481,3815,6639,3723.789084,6589.307376,5044.409483,9945.590517,-2.390850,-0.748496
Columbia,16388,17988,13248,11091,12853.683745,11308.888569,17306.895695,17069.104305,-2.976421,1.964553
Crawford,3860,5113,3354,3191,3057.186300,3214.495622,4121.191555,4851.808445,-8.849544,0.736309
Dane,273995,85454,234129,52372,207617.380440,53724.136299,278360.316475,81088.683525,-11.323510,2.581792
Dodge,16518,33067,12796,21251,13461.164332,20788.915849,18207.188568,31377.811432,5.198221,-2.174411
Door,10565,10099,8592,6716,8235.818216,6349.147524,11080.895465,9583.104535,-4.145505,-5.462366
Douglas,13073,11732,9501,6565,10165.029107,7375.799460,13672.315338,11132.684662,6.989044,12.350335
Dunn,10643,14726,8545,8586,8450.698815,9258.099459,11395.260285,13973.739715,-1.103583,7.827853
Eau Claire,34400,27728,27618,16334,26641.645123,17432.336126,35816.452070,26311.547930,-3.535212,6.724232
