county,source_dem_votes,source_rep_votes,actual_target_dem_votes,actual_target_rep_votes,predicted_target_dem_votes,predicted_target_rep_votes,counterfactual_full_return_dem_votes,counterfactual_full_return_rep_votes,dem_percent_error_0_to_100_scale,rep_percent_error_0_to_100_scale
St. Croix,23870,35537,23792,34844,24075.770015,34475.297975,24254.723668,35152.276332,1.192712,-1.058151
Taylor,2823,8209,2943,7892,2892.415634,7961.172223,2914.465288,8117.534712,-1.718803,0.876485
Trempealeau,6219,9661,6424,9118,6277.137734,9372.109644,6323.850582,9556.149418,-2.286150,2.786901
Vernon,7514,8807,7765,8312,7551.996918,8545.412536,7607.803426,8713.196574,-2.743118,2.808139
Vilas,6119,9837,6120,9607,6179.931404,9542.642576,6225.966366,9730.033634,0.979271,-0.669901
Walworth,23161,36603,22882,35692,23384.530961,35508.086034,23558.638212,36205.361788,2.196185,-0.515281
Washburn,3867,6962,3916,6724,3913.893707,6753.228789,3943.151002,6885.848998,-0.053787,0.434693
Washington,28504,61604,28053,61163,28965.407341,59751.196114,29183.339345,60924.660655,3.252441,-2.308265
Waukesha,108478,162768,105781,163590,109427.407418,157904.333650,110240.948684,161005.051316,3.447129,-3.475559
Waupaca,9947,20093,10013,19117,10092.208333,19489.304549,10167.949200,19872.050800,0.791055,1.947505
Waushara,4571,9625,4643,9253,4642.134373,9335.630710,4677.026548,9518.973452,-0.018644,0.893015
Winnebago,44660,49179,44721,47265,44850.211245,47720.860306,45181.201375,48657.798625,0.288927,0.964478
Wood,16599,24997,17134,23662,16745.296234,24250.007433,16869.802091,24726.197909,-2.268611,2.485028
