county,election_date,race,dem_candidate,rep_candidate,dem_votes,rep_votes,other_votes,total_votes,source_csv
Adams,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3600,5171,6,8777,Wisconsin Election Results - 2025 Supreme Court.csv
Ashland,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3869,2816,7,6692,Wisconsin Election Results - 2025 Supreme Court.csv
Barron,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,7037,10719,6,17762,Wisconsin Election Results - 2025 Supreme Court.csv
Bayfield,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,5228,3413,2,8643,Wisconsin Election Results - 2025 Supreme Court.csv
Brown,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,51403,48228,54,99685,Wisconsin Election Results - 2025 Supreme Court.csv
Buffalo,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,2310,3227,48,5585,Wisconsin Election Results - 2025 Supreme Court.csv
Burnett,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,2728,4559,0,7287,Wisconsin Election Results - 2025 Supreme Court.csv
Calumet,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,9743,12288,12,22043,Wisconsin Election Results - 2025 Supreme Court.csv
Chippewa,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,11580,14036,18,25634,Wisconsin Election Results - 2025 Supreme Court.csv
Clark,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3815,6639,8,10462,Wisconsin Election Results - 2025 Supreme Court.csv
Columbia,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,13248,11091,16,24355,Wisconsin Election Results - 2025 Supreme Court.csv
Crawford,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3354,3191,4,6549,Wisconsin Election Results - 2025 Supreme Court.csv
Dane,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,234129,52372,202,286703,Wisconsin Election Results - 2025 Supreme Court.csv
Dodge,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,12796,21251,0,34047,Wisconsin Election Results - 2025 Supreme Court.csv
Door,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,8592,6716,7,15315,Wisconsin Election Results - 2025 Supreme Court.csv
Douglas,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,9501,6565,11,16077,Wisconsin Election Results - 2025 Supreme Court.csv
Dunn,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,8545,8586,0,17131,Wisconsin Election Results - 2025 Supreme Court.csv
Eau Claire,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,27618,16334,36,43988,Wisconsin Election Results - 2025 Supreme Court.csv
Florence,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,557,1472,0,2029,Wisconsin Election Results - 2025 Supreme Court.csv
Fond du Lac,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,15634,23842,1,39477,Wisconsin Election Results - 2025 Supreme Court.csv
Forest,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,1196,2159,2,3357,Wisconsin Election Results - 2025 Supreme Court.csv
Grant,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,8722,8796,10,17528,Wisconsin Election Results - 2025 Supreme Court.csv
Green,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,9343,6662,8,16013,Wisconsin Election Results - 2025 Supreme Court.csv
Green Lake,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,2626,4718,2,7346,Wisconsin Election Results - 2025 Supreme Court.csv
Iowa,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,6671,4123,7,10801,Wisconsin Election Results - 2025 Supreme Court.csv
Iron,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,1174,1572,0,2746,Wisconsin Election Results - 2025 Supreme Court.csv
Jackson,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3499,3683,0,7182,Wisconsin Election Results - 2025 Supreme Court.csv
Jefferson,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,16230,18334,27,34591,Wisconsin Election Results - 2025 Supreme Court.csv
Juneau,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3850,5579,7,9436,Wisconsin Election Results - 2025 Supreme Court.csv
