county,election_date,race,dem_candidate,rep_candidate,dem_votes,rep_votes,other_votes,total_votes,source_csv
Kenosha,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,30434,27277,55,57766,Wisconsin Election Results - 2025 Supreme Court.csv
Kewaunee,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3191,5353,5,8549,Wisconsin Election Results - 2025 Supreme Court.csv
La Crosse,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,30540,17954,0,48494,Wisconsin Election Results - 2025 Supreme Court.csv
Lafayette,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,2900,3065,0,5965,Wisconsin Election Results - 2025 Supreme Court.csv
Langlade,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,2859,4825,0,7684,Wisconsin Election Results - 2025 Supreme Court.csv
Lincoln,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,4617,6363,8,10988,Wisconsin Election Results - 2025 Supreme Court.csv
Manitowoc,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,13919,18596,22,32537,Wisconsin Election Results - 2025 Supreme Court.csv
Marathon,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,23964,29369,29,53362,Wisconsin Election Results - 2025 Supreme Court.csv
Marinette,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,5656,10031,16,15703,Wisconsin Election Results - 2025 Supreme Court.csv
Marquette,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,2529,3870,2,6401,Wisconsin Election Results - 2025 Supreme Court.csv
Menominee,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,837,191,0,1028,Wisconsin Election Results - 2025 Supreme Court.csv
Milwaukee,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,227345,77299,241,304885,Wisconsin Election Results - 2025 Supreme Court.csv
Monroe,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,6663,8340,4,15007,Wisconsin Election Results - 2025 Supreme Court.csv
Oconto,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,5386,11279,11,16676,Wisconsin Election Results - 2025 Supreme Court.csv
Oneida,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,7733,9222,16,16971,Wisconsin Election Results - 2025 Supreme Court.csv
Outagamie,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,37732,36740,0,74472,Wisconsin Election Results - 2025 Supreme Court.csv
Ozaukee,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,22814,24352,21,47187,Wisconsin Election Results - 2025 Supreme Court.csv
Pepin,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,1215,1697,0,2912,Wisconsin Election Results - 2025 Supreme Court.csv
Pierce,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,8096,8504,7,16607,Wisconsin Election Results - 2025 Supreme Court.csv
Polk,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,7400,11157,0,18557,Wisconsin Election Results - 2025 Supreme Court.csv
Portage,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,17476,12812,13,30301,Wisconsin Election Results - 2025 Supreme Court.csv
Price,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,2459,3865,0,6324,Wisconsin Election Results - 2025 Supreme Court.csv
Racine,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,37235,36323,66,73624,Wisconsin Election Results - 2025 Supreme Court.csv
Richland,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3309,3043,3,6355,Wisconsin Election Results - 2025 Supreme Court.csv
Rock,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,35186,22268,47,57501,Wisconsin Election Results - 2025 Supreme Court.csv
Rusk,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,2107,3645,3,5755,Wisconsin Election Results - 2025 Supreme Court.csv
Sauk,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,14548,10913,0,25461,Wisconsin Election Results - 2025 Supreme Court.csv
Sawyer,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3464,4234,6,7704,Wisconsin Election Results - 2025 Supreme Court.csv
Shawano,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,5467,9643,7,15117,Wisconsin Election Results - 2025 Supreme Court.csv
Sheboygan,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,21280,25130,38,46448,Wisconsin Election Results - 2025 Supreme Court.csv
St. Croix,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,18477,21738,23,40238,Wisconsin Election Results - 2025 Supreme Court.csv
Taylor,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,2176,5264,0,7440,Wisconsin Election Results - 2025 Supreme Court.csv
Trempealeau,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,5068,5702,3,10773,Wisconsin Election Results - 2025 Supreme Court.csv
Vernon,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,6612,5696,10,12318,Wisconsin Election Results - 2025 Supreme Court.csv
Vilas,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,4572,6541,13,11126,Wisconsin Election Results - 2025 Supreme Court.csv
Walworth,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,18461,23620,31,42112,Wisconsin Election Results - 2025 Supreme Court.csv
Washburn,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3129,4609,4,7742,Wisconsin Election Results - 2025 Supreme Court.csv
Washington,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,21906,42972,34,64912,Wisconsin Election Results - 2025 Supreme Court.csv
Waukesha,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,85130,116000,98,201228,Wisconsin Election Results - 2025 Supreme Court.csv
Waupaca,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,7706,12334,14,20054,Wisconsin Election Results - 2025 Supreme Court.csv
Waushara,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,3498,6386,0,9884,Wisconsin Election Results - 2025 Supreme Court.csv
Winnebago,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,34605,30047,48,64700,Wisconsin Election Results - 2025 Supreme Court.csv
Wood,2025-04-01,2025 Wisconsin Supreme Court,Susan Crawford,Brad Schimel,12838,15919,21,28778,Wisconsin Election Results - 2025 Supreme Court.csv
