election_date,race,county,dem_candidate,rep_candidate,dem_votes,rep_votes,total_votes,source_url
2024-11-05,2024 Wisconsin U.S. Senate,Waushara,Tammy Baldwin,Eric Hovde,4643,9253,14250,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Winnebago,Tammy Baldwin,Eric Hovde,44721,47265,94501,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Wood,Tammy Baldwin,Eric Hovde,17134,23662,41831,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2025-04-01,2025 Wisconsin Supreme Court,Adams]],Susan Crawford,Brad Schimel,3600,5171,8777,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Ashland]],Susan Crawford,Brad Schimel,3869,2816,6692,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Barron]],Susan Crawford,Brad Schimel,7037,10719,17762,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Bayfield]],Susan Crawford,Brad Schimel,5228,3413,8643,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Brown]],Susan Crawford,Brad Schimel,51403,48228,99685,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Buffalo]],Susan Crawford,Brad Schimel,2310,3227,5585,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Burnett]],Susan Crawford,Brad Schimel,2728,4559,7287,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Calumet]],Susan Crawford,Brad Schimel,9743,12288,22043,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Chippewa]],Susan Crawford,Brad Schimel,11580,14036,25634,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Clark]],Susan Crawford,Brad Schimel,3815,6639,10462,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Columbia]],Susan Crawford,Brad Schimel,13248,11091,24355,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Crawford]],Susan Crawford,Brad Schimel,3354,3191,6549,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Dane]],Susan Crawford,Brad Schimel,234129,52372,286703,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Dodge]],Susan Crawford,Brad Schimel,12796,21251,34047,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Door]],Susan Crawford,Brad Schimel,8592,6716,15315,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Douglas]],Susan Crawford,Brad Schimel,9501,6565,16077,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Dunn]],Susan Crawford,Brad Schimel,8545,8586,17131,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Eau Claire]],Susan Crawford,Brad Schimel,27618,16334,43988,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Florence]],Susan Crawford,Brad Schimel,557,1472,2029,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Fond du Lac]],Susan Crawford,Brad Schimel,15634,23842,39477,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Forest]],Susan Crawford,Brad Schimel,1196,2159,3357,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Grant]],Susan Crawford,Brad Schimel,8722,8796,17528,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Green Lake]],Susan Crawford,Brad Schimel,2626,4718,7346,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Green]],Susan Crawford,Brad Schimel,9343,6662,16013,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Iowa]],Susan Crawford,Brad Schimel,6671,4123,10801,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Iron]],Susan Crawford,Brad Schimel,1174,1572,2746,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Jackson]],Susan Crawford,Brad Schimel,3499,3683,7182,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Jefferson]],Susan Crawford,Brad Schimel,16230,18334,34591,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Juneau]],Susan Crawford,Brad Schimel,3850,5579,9436,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Kenosha]],Susan Crawford,Brad Schimel,30434,27277,57766,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Kewaunee]],Susan Crawford,Brad Schimel,3191,5353,8549,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,La Crosse]],Susan Crawford,Brad Schimel,30540,17954,48494,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Lafayette]],Susan Crawford,Brad Schimel,2900,3065,5965,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Langlade]],Susan Crawford,Brad Schimel,2859,4825,7684,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Lincoln]],Susan Crawford,Brad Schimel,4617,6363,10988,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Manitowoc]],Susan Crawford,Brad Schimel,13919,18596,32537,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Marathon]],Susan Crawford,Brad Schimel,23964,29369,53362,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Marinette]],Susan Crawford,Brad Schimel,5656,10031,15703,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Marquette]],Susan Crawford,Brad Schimel,2529,3870,6401,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Menominee]],Susan Crawford,Brad Schimel,837,191,1028,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Milwaukee]],Susan Crawford,Brad Schimel,227345,77299,304885,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Monroe]],Susan Crawford,Brad Schimel,6663,8340,15007,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Oconto]],Susan Crawford,Brad Schimel,5386,11279,16676,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Oneida]],Susan Crawford,Brad Schimel,7733,9222,16971,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Outagamie]],Susan Crawford,Brad Schimel,37732,36740,74472,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Ozaukee]],Susan Crawford,Brad Schimel,22814,24352,47187,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Pepin]],Susan Crawford,Brad Schimel,1215,1697,2912,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Pierce]],Susan Crawford,Brad Schimel,8096,8504,16607,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Polk]],Susan Crawford,Brad Schimel,7400,11157,18557,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Portage]],Susan Crawford,Brad Schimel,17476,12812,30301,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Price]],Susan Crawford,Brad Schimel,2459,3865,6324,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Racine]],Susan Crawford,Brad Schimel,37235,36323,73624,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Richland]],Susan Crawford,Brad Schimel,3309,3043,6355,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Rock]],Susan Crawford,Brad Schimel,35186,22268,57501,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Rusk]],Susan Crawford,Brad Schimel,2107,3645,5755,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Sauk]],Susan Crawford,Brad Schimel,14548,10913,25461,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Sawyer]],Susan Crawford,Brad Schimel,3464,4234,7704,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Shawano]],Susan Crawford,Brad Schimel,5467,9643,15117,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Sheboygan]],Susan Crawford,Brad Schimel,21280,25130,46448,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,St. Croix]],Susan Crawford,Brad Schimel,18477,21738,40238,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Taylor]],Susan Crawford,Brad Schimel,2176,5264,7440,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Trempealeau]],Susan Crawford,Brad Schimel,5068,5702,10773,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Vernon]],Susan Crawford,Brad Schimel,6612,5696,12318,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Vilas]],Susan Crawford,Brad Schimel,4572,6541,11126,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Walworth]],Susan Crawford,Brad Schimel,18461,23620,42112,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Washburn]],Susan Crawford,Brad Schimel,3129,4609,7742,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Washington]],Susan Crawford,Brad Schimel,21906,42972,64912,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Waukesha]],Susan Crawford,Brad Schimel,85130,116000,201228,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Waupaca]],Susan Crawford,Brad Schimel,7706,12334,20054,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Waushara]],Susan Crawford,Brad Schimel,3498,6386,9884,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Winnebago]],Susan Crawford,Brad Schimel,34605,30047,64700,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
2025-04-01,2025 Wisconsin Supreme Court,Wood]],Susan Crawford,Brad Schimel,12838,15919,28778,https://en.wikipedia.org/w/index.php?title=2025_Wisconsin_Supreme_Court_election&action=raw
