county,source_dem_votes,source_rep_votes,actual_target_dem_votes,actual_target_rep_votes,predicted_target_dem_votes,predicted_target_rep_votes,counterfactual_full_return_dem_votes,counterfactual_full_return_rep_votes,dem_percent_error_0_to_100_scale,rep_percent_error_0_to_100_scale
St. Croix,23870,35537,12209,10280,13088.464833,12163.643083,26293.292044,33113.707956,7.203414,18.323376
Taylor,2823,8209,1770,2819,1658.664244,2794.783478,3412.035640,7619.964360,-6.290156,-0.859047
Trempealeau,6219,9661,3677,2941,3421.141402,3305.271027,6880.728403,8999.271597,-6.958352,12.385958
Vernon,7514,8807,4484,2953,4054.313665,3023.380575,8097.176118,8223.823882,-9.582657,2.383358
Vilas,6119,9837,3311,3277,3375.290174,3364.295932,6795.102633,9160.897367,1.941715,2.663898
Walworth,23161,36603,13073,13303,12758.352759,12520.570201,25672.477512,34091.522488,-2.406848,-5.881604
Washburn,3867,6962,2438,2407,2153.673450,2378.448898,4350.543334,6478.456666,-11.662287,-1.186170
Washington,28504,61604,15495,25104,16159.282038,21014.105790,32844.807949,57263.192051,4.287073,-16.291803
Waukesha,108478,162768,61654,72400,59516.037859,55707.656625,119586.527302,151659.472698,-3.467678,-23.055723
Waupaca,9947,20093,6148,7063,5600.244921,6857.666283,11355.747115,18684.252885,-8.909484,-2.907174
Waushara,4571,9625,2715,3595,2584.335813,3283.896113,5247.929207,8948.070793,-4.812677,-8.653794
Winnebago,44660,49179,23567,15934,24009.581808,16897.860843,47887.132453,45951.867547,1.877973,6.049083
Wood,16599,24997,10002,9302,9109.484810,8554.933665,18305.642772,23290.357228,-8.923367,-8.031244
